Date,YOY (%),,,,
30/3/2007,-0.02073325,,,,
30/4/2007,0.026490788,,,,
31/5/2007,-0.017861181,,,,
29/6/2007,-0.013815499,,,,
31/7/2007,0.003891347,,,,
31/8/2007,0.003788025,,,,
28/9/2007,0.059907805,,,,
31/10/2007,0.047161755,,,,
30/11/2007,0.051979033,,,,
31/12/2007,-0.000101531,,,,
31/1/2008,0.102043206,,,,
29/2/2008,0.035420741,,,,
31/3/2008,0.023711868,,,,
30/4/2008,-0.067121969,,,,
30/5/2008,-0.016910232,,,,
30/6/2008,0.000625135,,,,
31/7/2008,0.049971599,,,,
29/8/2008,-0.083479178,,,,
30/9/2008,0.009914848,,,,
31/10/2008,0.01079345,,,,
28/11/2008,-0.035829612,,,,
31/12/2008,0.044557354,,,,
30/1/2009,0.060179427,,,,
27/2/2009,0.117019792,,,,
31/3/2009,-0.029088031,,,,
30/4/2009,-0.042575078,,,,
29/5/2009,0.025348765,,,,
30/6/2009,0.005528775,,,,
31/7/2009,-0.014529604,,,,
31/8/2009,0.00986932,,,,
30/9/2009,0.03883226,,,,
30/10/2009,0.04,,,,
30/11/2009,0.08,,,,
31/12/2009,0.02,,,,
29/1/2010,0.00,,,,
26/2/2010,0.00,,,,
31/3/2010,0.02,,,,
30/4/2010,0.04,,,,
31/5/2010,0.09,,,,
30/6/2010,0.04,,,,
30/7/2010,-0.05,,,,
31/8/2010,0.01,,,,
30/9/2010,0.04,,,,
29/10/2010,0.03,,,,
30/11/2010,0.03,,,,
31/12/2010,0.03,,,,
31/1/2011,-0.03,,,,
28/2/2011,0.00,,,,
31/3/2011,0.02,,,,
29/4/2011,0.02,,,,
31/5/2011,0.03,,,,
30/6/2011,0.01,,,,
29/7/2011,0.03,,,,
31/8/2011,0.11,,,,
30/9/2011,0.03,,,,
31/10/2011,-0.06,,,,
30/11/2011,0.05,,,,
30/12/2011,-0.04,,,,
31/1/2012,0.01,,,,
29/2/2012,0.04,,,,
30/3/2012,-0.04,,,,
30/4/2012,-0.01,,,,
31/5/2012,-0.02,,,,
29/6/2012,0.02,,,,
31/7/2012,0.01,,,,
31/8/2012,0.02,,,,
28/9/2012,0.05,,,,
31/10/2012,0.00,,,,
30/11/2012,-0.01,,,,
31/12/2012,-0.03,,,,
31/1/2013,-0.02,,,,
