"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2017","153.84","141.50","157.38","140.15","","8.26%"
"08/01/2017","142.10","151.49","152.24","137.68","","-6.18%"
"07/01/2017","151.46","140.29","151.70","132.35","","8.52%"
"06/01/2017","139.57","148.64","149.83","127.53","","-5.21%"
"05/01/2017","147.24","151.34","158.43","134.51","","-2.85%"
"04/01/2017","151.56","156.64","166.35","148.30","","-3.25%"
"03/01/2017","156.64","169.00","170.19","145.75","","-7.31%"
"02/01/2017","169.00","166.88","172.06","162.04","","1.27%"
"01/01/2017","166.88","172.50","177.32","163.07","","-3.26%"
"12/01/2016","172.50","161.86","177.73","160.72","","6.57%"
"11/01/2016","161.86","155.70","163.30","140.62","","3.96%"
"10/01/2016","155.70","161.82","173.51","155.20","","-3.78%"
"09/01/2016","161.82","151.86","162.19","144.44","","6.56%"
"08/01/2016","151.86","143.81","167.69","135.72","","5.60%"
"07/01/2016","143.81","169.77","172.47","140.25","","-15.29%"
"06/01/2016","169.77","174.62","183.73","160.99","","-2.78%"
"05/01/2016","174.62","165.82","178.57","155.40","","5.31%"
"04/01/2016","165.82","142.91","168.89","131.39","","16.03%"
"03/01/2016","142.91","131.65","158.37","130.21","","8.55%"
"02/01/2016","131.65","140.76","140.76","112.09","","-6.47%"
"01/01/2016","140.76","164.13","165.99","115.39","","-12.13%"
"12/01/2015","160.19","187.94","190.38","152.89","","-14.76%"
"11/01/2015","187.94","216.25","224.37","182.35","","-13.09%"
"10/01/2015","216.25","211.61","238.70","197.69","","2.19%"
"09/01/2015","211.61","233.76","233.76","205.23","","-9.47%"
"08/01/2015","233.76","227.42","234.23","179.50","","2.79%"
"07/01/2015","227.42","289.56","289.56","225.39","","-21.46%"
"06/01/2015","289.56","295.77","302.92","278.85","","-2.10%"
"05/01/2015","295.77","297.34","311.85","277.28","","-0.53%"
"04/01/2015","297.34","245.11","298.04","242.27","","21.31%"
"03/01/2015","245.11","265.96","280.01","226.77","","-7.84%"
"02/01/2015","265.96","262.32","294.67","254.21","","1.39%"
"01/01/2015","262.32","293.23","297.52","237.08","","-10.54%"
"12/01/2014","293.23","357.17","382.68","288.77","","-19.70%"
"11/01/2014","365.18","444.36","446.79","363.52","","-17.82%"
"10/01/2014","444.36","500.05","508.37","437.08","","-10.87%"
"09/01/2014","498.58","519.49","519.66","489.86","","-4.14%"
"08/01/2014","520.09","526.39","530.21","502.10","","-1.43%"
"07/01/2014","527.63","563.40","567.20","526.50","","-6.35%"
"06/01/2014","563.40","545.05","574.04","539.32","","3.37%"
"05/01/2014","545.05","525.38","554.54","520.48","","3.70%"
"04/01/2014","525.59","529.51","548.41","516.45","","-0.94%"
"03/01/2014","530.61","533.61","547.24","506.73","","-0.56%"
"02/01/2014","533.61","504.65","538.03","498.34","","5.74%"
"01/01/2014","504.65","510.64","513.44","473.43","","-1.17%"
"12/01/2013","510.64","484.61","522.73","481.59","","5.88%"
"11/01/2013","482.27","503.39","504.96","477.43","","-4.23%"
"10/01/2013","503.55","533.97","544.67","501.41","","-5.70%"
"09/01/2013","533.97","557.18","572.81","527.29","","-4.17%"
"08/01/2013","557.18","540.71","580.83","526.59","","3.05%"
"07/01/2013","540.71","495.06","560.53","492.65","","9.22%"
"06/01/2013","495.06","472.65","508.59","469.56","","4.74%"
"05/01/2013","472.65","479.11","500.29","464.33","","-1.85%"
"04/01/2013","481.53","501.75","503.61","444.08","","-4.21%"
"03/01/2013","502.68","476.62","503.25","464.25","","5.14%"
"02/01/2013","478.12","509.07","512.57","475.78","","-6.12%"
"01/01/2013","509.28","484.69","513.04","480.49","","5.67%"
"12/01/2012","481.96","470.81","482.80","450.18","","2.62%"
"11/01/2012","469.65","457.29","474.19","446.67","","2.52%"
"10/01/2012","458.09","488.38","499.54","449.85","","-6.86%"
"09/01/2012","491.84","520.06","537.43","474.82","","-4.76%"
"08/01/2012","516.42","470.99","526.16","466.80","","9.22%"
"07/01/2012","472.81","452.45","500.41","442.96","","3.18%"
"06/01/2012","458.22","466.53","470.75","417.07","","-2.17%"
"05/01/2012","468.37","568.99","578.12","465.01","","-17.79%"
"04/01/2012","569.70","563.84","575.63","549.88","","1.30%"
"03/01/2012","562.37","586.31","602.43","557.73","","-4.23%"
"02/01/2012","587.18","542.63","602.76","525.61","","8.30%"
"01/01/2012","542.19","552.94","572.14","537.07","","-0.56%"
"12/01/2011","545.22","556.19","566.19","511.68","","-1.72%"
"11/01/2011","554.75","512.63","571.34","492.64","","7.80%"
"10/01/2011","514.62","434.47","521.91","415.15","","17.39%"
"09/01/2011","438.40","494.30","501.33","427.16","","-10.95%"
"08/01/2011","492.30","541.22","548.57","440.19","","-7.61%"
"07/01/2011","532.87","530.26","559.93","523.05","","-0.17%"
"06/01/2011","533.79","579.40","581.14","501.34","","-7.60%"
"05/01/2011","577.71","640.67","649.39","536.31","","-10.36%"
