Date,USD
2015-12-31,"1,068.30"
2016-01-29,"1,097.40"
2016-02-29,"1,199.90"
2016-03-31,"1,246.30"
2016-04-29,"1,242.30"
2016-05-31,"1,259.40"
2016-06-30,"1,276.40"
2016-07-29,"1,337.30"
2016-08-31,"1,341.10"
2016-09-30,"1,326.00"
2016-10-31,"1,266.60"
2016-11-30,"1,236.00"
2016-12-30,"1,151.40"
2017-01-31,"1,192.60"
2017-02-28,"1,234.40"
2017-03-31,"1,231.10"
2017-04-28,"1,265.60"
2017-05-31,"1,245.00"
2017-06-30,"1,260.30"
2017-07-31,"1,236.20"
2017-08-31,"1,282.30"
2017-09-29,"1,315.00"
2017-10-31,"1,279.50"
2017-11-30,"1,282.30"
2017-12-29,"1,261.30"
2018-01-31,"1,331.70"
2018-02-28,"1,331.50"
2018-03-30,"1,324.70"
2018-04-30,"1,334.70"
2018-05-31,"1,303.00"
2018-06-29,"1,281.60"
2018-07-31,"1,238.50"
2018-08-31,"1,201.30"
2018-09-28,"1,198.50"
2018-10-31,"1,215.40"
2018-11-30,"1,221.00"
2018-12-31,"1,247.90"
2019-01-31,"1,291.80"
2019-02-28,"1,320.10"
2019-03-29,"1,300.90"
2019-04-30,"1,286.50"
2019-05-31,"1,284.00"
2019-06-28,"1,359.00"
2019-07-31,"1,413.00"
2019-08-30,"1,498.80"
2019-09-30,"1,511.30"
2019-10-31,"1,494.80"
2019-11-29,"1,470.00"
2019-12-31,"1,476.00"
2020-01-31,"1,560.70"
2020-02-28,"1,597.10"
2020-03-31,"1,591.90"
2020-04-30,"1,682.90"
2020-05-29,"1,716.40"
2020-06-30,"1,732.20"
2020-07-31,"1,843.30"
2020-08-31,"1,968.60"
2020-09-30,"1,922.20"
2020-10-30,"1,900.30"
2020-11-30,"1,863.50"
2020-12-31,"1,856.00"
2021-01-29,"1,867.00"
2021-02-26,"1,808.20"
2021-03-31,"1,718.20"
2021-04-30,"1,761.70"
2021-05-31,"1,853.20"
2021-06-30,"1,834.60"
2021-07-30,"1,807.10"
2021-08-31,"1,784.00"
2021-09-30,"1,777.30"
2021-10-29,"1,776.90"
2021-11-30,"1,820.20"
2021-12-31,"1,786.70"
2022-01-31,"1,816.80"
2022-02-28,"1,856.30"
2022-03-31,"1,947.80"
2022-04-29,"1,933.90"
2022-05-31,"1,848.30"
2022-06-30,"1,833.80"
2022-07-29,"1,736.40"
2022-08-31,"1,765.70"
2022-09-30,"1,683.00"
2022-10-31,"1,664.50"
2022-11-30,"1,726.50"
2022-12-30,"1,796.70"
2023-01-31,"1,898.60"
2023-02-28,"1,854.50"
2023-03-31,"1,912.70"
2023-04-28,"2,000.40"
2023-05-31,"1,990.20"
2023-06-30,"1,942.90"
2023-07-31,"1,948.90"
2023-08-31,"1,920.00"
2023-09-29,"1,917.00"
