index,crash_label,date,Quarter,000001.SS,^BSESN,^BVSP,^FCHI,^FTLC,^GDAXI,^GSPC,^HSI,^N225,^SSMI,volatility_lag1,volatility_lag2,price_change_lag1,price_change_lag2,volume_change_lag1,volume_change_lag2,Crude_Oil_Index_Excess_Return_lag1,Crude_Oil_Index_Excess_Return_lag2,Ted_Rate_lag1,Ted_Rate_lag2,Gold_Price_lag1,Gold_Price_lag2,housing_lag1,housing_lag2,reserve_lag1,reserve_lag2,10YGov_BondYield_lag1,10YGov_BondYield_lag2,current_acct_lag1,current_acct_lag2,FX_Rate_lag1,FX_Rate_lag2,turnover_lag1,turnover_lag2,Population_lag1,Population_lag2,npl_lag1,npl_lag2,Recession_Indicators_lag1,Recession_Indicators_lag2,inflation_lag1,inflation_lag2,Unemployment_lag1,Unemployment_lag2,GDP_lag1,GDP_lag2
^N225,0,2004-03-31,Q1 2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0182313962934042,-0.2155865840893174,0.2209390353448505,0.9202036632046768,-0.1271466942191997,-0.1271466938108452,0.658702185862944,-0.2082200237162687,0.6518643078587214,-0.0677266481678219,0.125320268718575,0.9506384467916826,-1.0669089786995256,-1.106492807256324,1.816060831658994,1.816060831658994,-0.1246518948682851,0.8818398620475226,0.041496771793927,0.0441550723919203,-0.7797850671277115,-1.9195349408218336,-0.1803272681436457,-0.1803272681436457,-0.9599705765275568,-0.9599705765275568,0.1120575744773747,0.1120575744773747,-0.9792872646234528,-0.9792872646234528,0.041496771793927,0.0441550723919203,-0.0812232140213937,-0.0812232140213937,0.3552205782625295,0.3552205782625295
^N225,1,2004-06-30,Q2 2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0767851366115006,-0.0182313962934042,0.6783362284566511,0.2209390353448505,-0.1271466939662247,-0.1271466942191997,0.8528939237953087,0.658702185862944,-0.7042054853525128,0.6518643078587214,-0.3223539663507341,0.125320268718575,-1.077157450328967,-1.0669089786995256,0.9559288741821016,1.816060831658994,0.2581960887688516,-0.1246518948682851,0.0433510550415091,0.041496771793927,0.2310301270121439,-0.7797850671277115,0.1069253650570974,-0.1803272681436457,-1.329640458661768,-0.9599705765275568,-0.1198827237813501,0.1120575744773747,-0.4541362634847334,-0.9792872646234528,0.0433510550415091,0.041496771793927,-0.8737934205661531,-0.0812232140213937,0.3780695124362646,0.3552205782625295
^N225,0,2004-09-30,Q3 2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0099872348394179,0.0767851366115006,-0.0624070973865234,0.6783362284566511,-0.1271466939736507,-0.1271466939662247,0.2099368284649907,0.8528939237953087,0.1611886616496764,-0.7042054853525128,-0.7782132251267165,-0.3223539663507341,-1.022440575097325,-1.077157450328967,0.9559288741821016,0.9559288741821016,0.3418956481496016,0.2581960887688516,0.0413982167426329,0.0433510550415091,0.324047110127841,0.2310301270121439,0.1069253650570974,0.1069253650570974,-1.329640458661768,-1.329640458661768,-0.1198827237813501,-0.1198827237813501,1.1213167399314248,-0.4541362634847334,0.0413982167426329,0.0433510550415091,-0.8737934205661531,-0.8737934205661531,0.3780695124362646,0.3780695124362646
^N225,0,2004-12-31,Q4 2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.2559922768192046,-0.0099872348394179,-0.929483019947634,-0.0624070973865234,-0.1271466942591694,-0.1271466939736507,1.9063418392577385,0.2099368284649907,0.538574902086185,0.1611886616496764,0.1340501956816963,-0.7782132251267165,-1.0313181768344477,-1.022440575097325,0.9559288741821016,0.9559288741821016,-0.309629844524407,0.3418956481496016,0.0364797506952105,0.0413982167426329,-0.2334415942870985,0.324047110127841,0.1069253650570974,0.1069253650570974,-1.329640458661768,-1.329640458661768,-0.1198827237813501,-0.1198827237813501,1.1213167399314248,1.1213167399314248,0.0364797506952105,0.0413982167426329,-0.8737934205661531,-0.8737934205661531,0.3780695124362646,0.3780695124362646
^N225,0,2005-03-31,Q1 2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.3410347530319877,-0.2559922768192046,0.3662171693527586,-0.929483019947634,-0.1271466940965295,-0.1271466942591694,-0.8106907155952335,1.9063418392577385,0.1372372877985662,0.538574902086185,0.3416314803332347,0.1340501956816963,-0.9225366900026508,-1.0313181768344477,0.9559288741821016,0.9559288741821016,-0.1918387428841747,-0.309629844524407,0.0367438346903368,0.0364797506952105,-1.266738481585259,-0.2334415942870985,0.1069253650570974,0.1069253650570974,-1.329640458661768,-1.329640458661768,-0.1198827237813501,-0.1198827237813501,0.5961657387927053,1.1213167399314248,0.0367438346903368,0.0364797506952105,-0.8737934205661531,-0.8737934205661531,0.3780695124362646,0.3780695124362646
^N225,0,2005-06-30,Q2 2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4256363013717709,-0.3410347530319877,-0.0324716634924017,0.3662171693527586,-0.1271466939195469,-0.1271466940965295,1.275388298539095,-0.8106907155952335,-0.0341938829115908,0.1372372877985662,-0.4928566214938001,0.3416314803332347,-0.9286398160634474,-0.9225366900026508,-0.4400432266948066,0.9559288741821016,-0.0579103739079613,-0.1918387428841747,0.037662647134487,0.0367438346903368,0.8049758415302186,-1.266738481585259,-0.1462698872475627,0.1069253650570974,-1.370745678649907,-1.329640458661768,-0.2321874094019616,-0.1198827237813501,-0.9792872646234528,0.5961657387927053,0.037662647134487,0.0367438346903368,-0.4528389613823109,-0.8737934205661531,-0.645380406238708,0.3780695124362646
^N225,0,2005-09-30,Q3 2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4467719729178057,-0.4256363013717709,-0.2324826880426263,-0.0324716634924017,-0.1271466941662753,-0.1271466939195469,-0.4005481508772503,1.275388298539095,1.202130050043713,-0.0341938829115908,0.2024043494608854,-0.4928566214938001,-0.8806184004877934,-0.9286398160634474,-0.4400432266948066,-0.4400432266948066,0.0641735816430118,-0.0579103739079613,0.0364723340325411,0.037662647134487,0.974755494346548,0.8049758415302186,-0.1462698872475627,-0.1462698872475627,-1.370745678649907,-1.370745678649907,-0.2321874094019616,-0.2321874094019616,-0.9792872646234528,-0.9792872646234528,0.0364723340325411,0.037662647134487,-0.4528389613823109,-0.4528389613823109,-0.645380406238708,-0.645380406238708
^N225,0,2005-12-31,Q4 2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4105565596294716,-0.4467719729178057,1.3274241329600087,-0.2324826880426263,-0.1271466936901276,-0.1271466941662753,0.6303206312135817,-0.4005481508772503,-0.1488066351973483,1.202130050043713,0.5273747484362018,0.2024043494608854,-0.8907274180103207,-0.8806184004877934,-0.4400432266948066,-0.4400432266948066,0.2908174559406511,0.0641735816430118,0.036560166267038,0.0364723340325411,0.5397326247608637,0.974755494346548,-0.1462698872475627,-0.1462698872475627,-1.370745678649907,-1.370745678649907,-0.2321874094019616,-0.2321874094019616,-0.9792872646234528,-0.9792872646234528,0.036560166267038,0.0364723340325411,-0.4528389613823109,-0.4528389613823109,-0.645380406238708,-0.645380406238708
^N225,0,2006-03-31,Q1 2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0348471116388003,-0.4105565596294716,1.4588875527594944,1.3274241329600087,-0.1271466937461005,-0.1271466936901276,-0.645384363654351,0.6303206312135817,0.617501982101665,-0.1488066351973483,1.7625088519583716,0.5273747484362018,-0.7521556759835955,-0.8907274180103207,-0.4400432266948066,-0.4400432266948066,0.0549956003276403,0.2908174559406511,0.0385182915455224,0.036560166267038,0.046577090489346,0.5397326247608637,-0.1462698872475627,-0.1462698872475627,-1.370745678649907,-1.370745678649907,-0.2321874094019616,-0.2321874094019616,-0.9792872646234528,-0.9792872646234528,0.0385182915455224,0.036560166267038,-0.4528389613823109,-0.4528389613823109,-0.645380406238708,-0.645380406238708
^N225,0,2006-06-30,Q2 2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5454290737122658,-0.0348471116388003,0.3435451836389626,1.4588875527594944,-0.1271466942520282,-0.1271466937461005,0.1123889232252715,-0.645384363654351,-1.0280206384586017,0.617501982101665,0.9719879577997348,1.7625088519583716,-0.7547325092086524,-0.7521556759835955,-0.1260059967548188,-0.4400432266948066,0.4706373222842597,0.0549956003276403,0.0395737284844203,0.0385182915455224,0.247380874480493,0.046577090489346,0.1299360802781284,-0.1462698872475627,-1.267994184515093,-1.370745678649907,-0.2321874094019616,-0.2321874094019616,-0.9792872646234528,-0.9792872646234528,0.0395737284844203,0.0385182915455224,-0.489647530463083,-0.4528389613823109,-1.039880338974152,-0.645380406238708
