price,volume,date,volatility,index,crash_label
703.3400268554688,380750000,1996-10-07,,^GSPC,0
700.6400146484375,435070000,1996-10-08,,^GSPC,0
696.739990234375,408450000,1996-10-09,,^GSPC,0
694.6099853515625,394950000,1996-10-10,,^GSPC,0
700.6599731445312,396050000,1996-10-11,,^GSPC,0
703.5399780273438,322000000,1996-10-14,,^GSPC,0
702.5700073242188,458980000,1996-10-15,,^GSPC,0
704.4099731445312,441410000,1996-10-16,,^GSPC,0
706.989990234375,478550000,1996-10-17,,^GSPC,0
710.8200073242188,473020000,1996-10-18,,^GSPC,0
709.8499755859375,414630000,1996-10-21,,^GSPC,0
706.5700073242188,410790000,1996-10-22,,^GSPC,0
707.27001953125,442170000,1996-10-23,,^GSPC,0
702.2899780273438,418970000,1996-10-24,,^GSPC,0
700.9199829101562,367640000,1996-10-25,,^GSPC,0
697.260009765625,383620000,1996-10-28,,^GSPC,0
701.5,443890000,1996-10-29,,^GSPC,0
700.9000244140625,437770000,1996-10-30,,^GSPC,0
705.27001953125,482840000,1996-10-31,,^GSPC,0
703.77001953125,465510000,1996-11-01,,^GSPC,0
706.72998046875,398790000,1996-11-04,,^GSPC,0
714.1400146484375,486660000,1996-11-05,,^GSPC,0
724.5900268554688,509600000,1996-11-06,,^GSPC,0
727.6500244140625,502530000,1996-11-07,,^GSPC,0
730.8200073242188,402320000,1996-11-08,,^GSPC,0
731.8699951171875,353960000,1996-11-11,,^GSPC,0
729.5599975585938,471740000,1996-11-12,,^GSPC,0
731.1300048828125,429840000,1996-11-13,,^GSPC,0
735.8800048828125,480350000,1996-11-14,,^GSPC,0
737.6199951171875,529100000,1996-11-15,,^GSPC,0
737.02001953125,388520000,1996-11-18,,^GSPC,0
742.1599731445312,461980000,1996-11-19,,^GSPC,0
743.9500122070312,497900000,1996-11-20,,^GSPC,0
742.75,464430000,1996-11-21,,^GSPC,0
748.72998046875,525210000,1996-11-22,,^GSPC,0
757.030029296875,475260000,1996-11-25,,^GSPC,0
755.9600219726562,527380000,1996-11-26,,^GSPC,0
755.0,377780000,1996-11-27,,^GSPC,0
757.02001953125,14990000,1996-11-29,,^GSPC,0
756.5599975585938,412520000,1996-12-02,,^GSPC,0
748.280029296875,516160000,1996-12-03,,^GSPC,0
745.0999755859375,498240000,1996-12-04,,^GSPC,0
744.3800048828125,483710000,1996-12-05,,^GSPC,0
739.5999755859375,500860000,1996-12-06,,^GSPC,0
749.760009765625,381570000,1996-12-09,,^GSPC,0
747.5399780273438,446120000,1996-12-10,,^GSPC,0
740.72998046875,494210000,1996-12-11,,^GSPC,0
729.2999877929688,492920000,1996-12-12,,^GSPC,0
728.6400146484375,458540000,1996-12-13,,^GSPC,0
720.97998046875,447560000,1996-12-16,,^GSPC,0
726.0399780273438,519840000,1996-12-17,,^GSPC,0
731.5399780273438,500490000,1996-12-18,,^GSPC,0
745.760009765625,526410000,1996-12-19,,^GSPC,0
748.8699951171875,654340000,1996-12-20,,^GSPC,0
746.9199829101562,343280000,1996-12-23,,^GSPC,0
751.030029296875,165140000,1996-12-24,,^GSPC,0
755.8200073242188,254630000,1996-12-26,,^GSPC,0
756.7899780273438,253810000,1996-12-27,37.42588952335765,^GSPC,0
753.8499755859375,339060000,1996-12-30,37.66800317458967,^GSPC,0
740.739990234375,399760000,1996-12-31,37.79887693667367,^GSPC,0
737.010009765625,463230000,1997-01-02,37.87715143205033,^GSPC,0
748.030029296875,452970000,1997-01-03,38.02532862830902,^GSPC,0
747.6500244140625,531350000,1997-01-06,38.17280790539389,^GSPC,0
753.22998046875,538220000,1997-01-07,38.3025416256226,^GSPC,0
748.4099731445312,557510000,1997-01-08,38.3053838513027,^GSPC,0
754.8499755859375,555370000,1997-01-09,38.38297669794751,^GSPC,0
759.5,545850000,1997-01-10,38.483966315421256,^GSPC,0
759.510009765625,445400000,1997-01-13,38.55925195485083,^GSPC,0
768.8599853515625,531600000,1997-01-14,38.7726171254202,^GSPC,0
767.2000122070312,524990000,1997-01-15,38.94420484155487,^GSPC,0
769.75,537290000,1997-01-16,39.14158605537353,^GSPC,0
776.1699829101562,534640000,1997-01-17,39.41387867573223,^GSPC,0
776.7000122070312,440470000,1997-01-20,39.68915397714474,^GSPC,0
782.719970703125,571280000,1997-01-21,40.00819243257139,^GSPC,0
786.22998046875,589230000,1997-01-22,40.39462036995135,^GSPC,0
777.5599975585938,685070000,1997-01-23,40.66293583555032,^GSPC,0
770.52001953125,542920000,1997-01-24,40.88356463924196,^GSPC,0
765.02001953125,445760000,1997-01-27,41.06345071194667,^GSPC,0
765.02001953125,541580000,1997-01-28,41.266522262053485,^GSPC,0
772.5,498390000,1997-01-29,41.55138744076882,^GSPC,0
784.1699829101562,524160000,1997-01-30,41.94336973383421,^GSPC,0
786.1599731445312,578550000,1997-01-31,42.33118678782847,^GSPC,0
786.72998046875,463600000,1997-02-03,42.73649322869088,^GSPC,0
789.260009765625,506530000,1997-02-04,43.17295018120489,^GSPC,0
778.280029296875,580520000,1997-02-05,43.5114957991329,^GSPC,0
780.1500244140625,519660000,1997-02-06,43.875791609934,^GSPC,0
789.5599975585938,540910000,1997-02-07,44.31554994663828,^GSPC,0
785.4299926757812,471590000,1997-02-10,44.72062391489845,^GSPC,0
789.5900268554688,483090000,1997-02-11,45.15111932421112,^GSPC,0
802.77001953125,563890000,1997-02-12,45.68299587953503,^GSPC,0
811.8200073242188,593710000,1997-02-13,46.280660997726336,^GSPC,0
808.47998046875,491540000,1997-02-14,46.81641823325258,^GSPC,0
816.2899780273438,474110000,1997-02-18,47.38947030735244,^GSPC,0
812.489990234375,519350000,1997-02-19,47.935328969703775,^GSPC,0
802.7999877929688,492220000,1997-02-20,48.40731979857467,^GSPC,0
801.77001953125,478450000,1997-02-21,48.85938514968262,^GSPC,0
810.280029296875,462450000,1997-02-24,49.35235317929486,^GSPC,0
812.030029296875,527450000,1997-02-25,49.83738338885806,^GSPC,0
805.6799926757812,573920000,1997-02-26,50.24192792924906,^GSPC,0
795.0700073242188,464660000,1997-02-27,50.52905718710422,^GSPC,0
790.8200073242188,508280000,1997-02-28,50.7908407931127,^GSPC,0
795.3099975585938,437220000,1997-03-03,51.10291491644306,^GSPC,0
790.9500122070312,537890000,1997-03-04,51.390536570473394,^GSPC,0
801.989990234375,532500000,1997-03-05,51.74318604775608,^GSPC,0
798.5599975585938,540310000,1997-03-06,52.06526954400815,^GSPC,0
804.969970703125,508270000,1997-03-07,52.34607245348692,^GSPC,0
813.6500244140625,468780000,1997-03-10,52.71970243861184,^GSPC,0
811.3400268554688,493250000,1997-03-11,53.04872139853794,^GSPC,0
804.260009765625,490200000,1997-03-12,53.31660271686463,^GSPC,0
789.5599975585938,507560000,1997-03-13,53.48040761683136,^GSPC,0
793.1699829101562,491540000,1997-03-14,53.66383249885734,^GSPC,0
795.7100219726562,495260000,1997-03-17,53.902797329510896,^GSPC,0
789.6599731445312,467330000,1997-03-18,54.09099122367538,^GSPC,0
785.77001953125,535580000,1997-03-19,54.24224101700748,^GSPC,0
782.6500244140625,497480000,1997-03-20,54.36614606951861,^GSPC,0
784.0999755859375,638760000,1997-03-21,54.49867146653587,^GSPC,0
790.8900146484375,451970000,1997-03-24,54.66445878831096,^GSPC,0
789.0700073242188,487520000,1997-03-25,54.82423315332864,^GSPC,0
790.5,506670000,1997-03-26,54.97081472122189,^GSPC,0
773.8800048828125,476790000,1997-03-27,55.02006384304424,^GSPC,0
757.1199951171875,555880000,1997-03-31,54.978599907084345,^GSPC,0
759.6400146484375,515770000,1997-04-01,54.97718200155499,^GSPC,0
750.1099853515625,478210000,1997-04-02,54.94567095992402,^GSPC,0
750.3200073242188,498010000,1997-04-03,54.91454833771753,^GSPC,0
757.9000244140625,544580000,1997-04-04,54.90600837220968,^GSPC,0
762.1300048828125,453790000,1997-04-07,54.86078154304348,^GSPC,0
766.1199951171875,450790000,1997-04-08,54.81761275867932,^GSPC,0
760.5999755859375,451500000,1997-04-09,54.70296940192617,^GSPC,0
758.3400268554688,421790000,1997-04-10,54.56209027955098,^GSPC,0
737.6500244140625,444380000,1997-04-11,54.3906420339579,^GSPC,0
743.72998046875,406800000,1997-04-14,54.259254742219575,^GSPC,0
754.719970703125,507370000,1997-04-15,54.167620703384415,^GSPC,0
763.530029296875,498820000,1997-04-16,54.08582991799524,^GSPC,0
761.77001953125,503760000,1997-04-17,54.0033370430078,^GSPC,0
766.3400268554688,468940000,1997-04-18,53.94129666470781,^GSPC,0
