volatility,index,crash_label,price_change,volume_change,date,Quarter,000001.SS,^BSESN,^BVSP,^FCHI,^FTLC,^GDAXI,^GSPC,^HSI,^N225,^SSMI,Crude_Oil_Index_Excess_Return,Ted_Rate,Gold_Price,housing,reserve,10YGov_BondYield,current_acct,FX_Rate,turnover,Population,npl,Recession_Indicators,inflation,Unemployment,GDP
-0.2692752325480183,^HSI,0,-0.4807586393609086,-0.12714669419976543,2005-12-31,Q4 2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.645384363654351,0.617501982101665,1.7625088519583716,-1.8185322165491742,-0.4090102402453667,-0.10379447436128743,0.0442008099237223,-0.11008696130745856,-0.26874581427396943,-0.4883386435170222,-0.2732511409088687,-0.9792872646234528,0.0442008099237223,-1.399344240350392,0.284375282734429
-0.21454084276858224,^HSI,0,0.37461451234509213,-0.1271466938116292,2006-03-31,Q1 2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11238892322527155,-1.0280206384586017,0.9719879577997349,0.16611660506483172,-0.027327094055695136,0.27834230017899514,0.04242308107335402,-0.04886052505889366,-0.020549077421522753,-0.07888188231862182,-0.3041287398827963,-0.9792872646234528,0.04242308107335402,-1.155955812644212,0.20269596593690853
-0.15685262182971918,^HSI,0,0.08584409879604232,-0.12714669411688567,2006-06-30,Q2 2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2387890406376803,1.14539678946932,0.3400520238456488,0.3157940874105902,-0.027327094055695136,-0.07390063718093395,0.02589806081008325,-0.04890000556864551,-0.020549077421522753,-0.07888188231862182,-0.3041287398827963,-0.9792872646234528,0.02589806081008325,-1.155955812644212,0.20269596593690853
-0.15974853883669876,^HSI,0,0.5138136562385641,-0.12714669408800805,2006-09-30,Q3 2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.1538650088797142,-0.035021176853670656,-0.30485274494400355,-0.6463322549921513,-0.027327094055695136,-0.26658061662665683,0.045539994999275996,-0.04893939111625725,-0.020549077421522753,-0.07888188231862182,-0.3041287398827963,-0.9792872646234528,0.045539994999275996,-1.155955812644212,0.20269596593690853
0.06316315498926671,^HSI,0,1.0332681739894984,-0.1271466930626059,2006-12-31,Q4 2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.6285499250442848,-0.5066939945410793,0.19530568370547452,-0.19218196494125311,-0.027327094055695136,0.12515208408212752,0.07471152411370925,-0.018463832484335665,-0.020549077421522753,-0.07888188231862182,-0.3041287398827963,-0.9792872646234528,0.07471152411370925,-1.155955812644212,0.20269596593690853
0.3717388828072869,^HSI,0,-0.24053808107422106,-0.12714669380788715,2007-03-31,Q1 2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.022529655988577042,-0.7345560021301685,0.27389303213785066,0.9518861884027792,0.38139271361178706,0.0633074092918539,0.039521951264046916,-0.018620306350706366,0.5892258114630543,0.37081628826951085,-0.3350751342119176,-0.9792872646234528,0.039521951264046916,-1.282802965138592,0.4876743251992998
0.46046751721653884,^HSI,0,0.6982767948087528,-0.12714669389101546,2007-06-30,Q2 2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.12923845570459774,2.0264237159328062,-0.40575530845586394,1.0825992976450292,0.38139271361178706,0.15527306030744023,0.026511232287863205,-0.07949348343805203,0.5892258114630543,0.37081628826951085,-0.3350751342119176,-0.9792872646234528,0.026511232287863205,-1.282802965138592,0.4876743251992998
0.5040845917699204,^HSI,0,1.9790516926007538,-0.12714669360449507,2007-09-30,Q3 2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9025097132486702,2.4670790009831918,0.7208957132358275,1.0529652405499819,0.38139271361178706,-0.28041754496690835,0.03647018742818112,-0.2920046748729927,0.5892258114630543,0.37081628826951085,-0.3350751342119176,-0.9792872646234528,0.03647018742818112,-1.282802965138592,0.4876743251992998
1.4332827658640803,^HSI,0,0.04598079661634749,-0.1271466939777199,2007-12-31,Q4 2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0539951424415073,1.2919430879193587,1.2308175844592497,3.0664566786079894,0.38139271361178706,-0.5358245920296971,0.056770856950479995,0.07367126097666979,0.5892258114630543,0.37081628826951085,-0.3350751342119176,0.5961657387927053,0.056770856950479995,-1.282802965138592,0.4876743251992998
1.6877604821999135,^HSI,1,-1.7234779156464044,-0.12714669411330026,2008-03-31,Q1 2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.35052403541624416,-0.9459750974035247,2.24791633288176,3.690949823790896,0.6411982304788395,0.08721959291253578,0.03372073510301283,-0.10993006011145735,0.42269660935963166,-0.1607243806470547,-0.29382858059293426,1.1213167399314248,0.03372073510301283,-0.8650997524392212,-0.11140603062426463
