drawdown_start,drawdown_end,duration,drawdown,index
2011-12-02,2011-12-07,5,-0.02582115731471216,000001.SS
2015-08-05,2015-08-07,2,-0.025714976920262388,000001.SS
2009-04-24,2009-04-29,5,-0.025531422725783928,000001.SS
2016-12-12,2016-12-13,1,-0.025345336834806283,000001.SS
2004-04-19,2004-04-22,3,-0.025230809572542492,000001.SS
2006-02-16,2006-02-20,4,-0.024993885114707178,000001.SS
2013-07-08,2013-07-09,1,-0.024984272703222482,000001.SS
2008-11-06,2008-11-07,1,-0.02496734730338365,000001.SS
2008-11-28,2008-12-01,3,-0.024960482134271367,000001.SS
2016-01-13,2016-01-14,1,-0.024838702388245083,000001.SS
2001-10-25,2001-10-26,1,-0.024790372422068635,000001.SS
2002-03-12,2002-03-14,2,-0.02473820332154362,000001.SS
2010-03-12,2010-03-16,4,-0.024670710437127763,000001.SS
2005-03-22,2005-03-24,2,-0.02435697810430859,000001.SS
2010-03-04,2010-03-05,1,-0.02435420134925357,000001.SS
2005-03-09,2005-03-11,2,-0.024330332973893386,000001.SS
2017-05-02,2017-05-09,7,-0.024189532614243277,000001.SS
2002-06-12,2002-06-17,5,-0.02407924232674587,000001.SS
2007-07-13,2007-07-17,4,-0.024033075533378464,000001.SS
2016-09-09,2016-09-13,4,-0.024027455417853793,000001.SS
2004-01-30,2004-02-02,3,-0.023956332054663666,000001.SS
2009-10-29,2009-10-30,1,-0.023936446345472717,000001.SS
2013-11-06,2013-11-11,5,-0.023888984610609745,000001.SS
2010-10-26,2010-11-01,6,-0.023863877169662293,000001.SS
2004-02-23,2004-02-24,1,-0.023844321800566344,000001.SS
2006-07-19,2006-07-20,1,-0.02376177279604569,000001.SS
2009-12-22,2009-12-23,1,-0.023750993402924227,000001.SS
2018-10-26,2018-10-30,4,-0.023740152187761307,000001.SS
2004-12-10,2004-12-15,5,-0.02372063129276505,000001.SS
2018-10-15,2018-10-17,2,-0.023590614595839558,000001.SS
2004-08-11,2004-08-13,2,-0.023519021649314163,000001.SS
2012-01-04,2012-01-06,2,-0.023492820753422784,000001.SS
2002-02-28,2002-03-04,4,-0.023466194024491384,000001.SS
2005-04-11,2005-04-13,2,-0.023376843871307645,000001.SS
2003-08-13,2003-08-19,6,-0.02332742479943671,000001.SS
2019-10-15,2019-10-21,6,-0.023316223097536833,000001.SS
2019-11-08,2019-11-12,4,-0.023190221855502728,000001.SS
2004-06-14,2004-06-15,1,-0.023170380426136665,000001.SS
2018-10-23,2018-10-24,1,-0.023142226299764396,000001.SS
2011-03-10,2011-03-14,4,-0.02311628242591223,000001.SS
2017-11-23,2017-11-24,1,-0.023106278410201717,000001.SS
2011-05-04,2011-05-05,1,-0.023088103232876227,000001.SS
2007-01-17,2007-01-19,2,-0.023042996127169955,000001.SS
2019-03-13,2019-03-15,2,-0.023000645809605456,000001.SS
2018-07-13,2018-07-20,7,-0.022998862590792247,000001.SS
2018-12-05,2018-12-07,2,-0.02293644293723346,000001.SS
2010-02-04,2010-02-09,5,-0.022922813364847465,000001.SS
2010-12-08,2010-12-10,2,-0.02278780531870873,000001.SS
2016-12-02,2016-12-07,5,-0.022708284271412315,000001.SS
2012-11-05,2012-11-12,7,-0.02269554818626282,000001.SS
2004-05-10,2004-05-11,1,-0.022671279975770817,000001.SS
2001-07-11,2001-07-18,7,-0.02250336845259665,000001.SS
2019-04-22,2019-04-24,2,-0.02245790358070156,000001.SS
2015-03-03,2015-03-04,1,-0.022443071735423117,000001.SS
2017-08-09,2017-08-14,5,-0.022387542971481836,000001.SS
2015-09-23,2015-09-24,1,-0.022379160735635634,000001.SS
2016-04-06,2016-04-11,5,-0.022325808458831274,000001.SS
2005-08-26,2005-08-31,5,-0.022263722753947786,000001.SS
2008-07-10,2008-07-14,4,-0.022226735404776578,000001.SS
2010-06-17,2010-06-21,4,-0.022153735890308966,000001.SS
2007-09-07,2007-09-10,3,-0.02207324141330923,000001.SS
2013-10-15,2013-10-18,3,-0.022042934586320853,000001.SS
2015-05-15,2015-05-19,4,-0.022006643322527063,000001.SS
2006-08-11,2006-08-15,4,-0.021997840335318118,000001.SS
2006-04-12,2006-04-14,2,-0.02198246109543348,000001.SS
2002-02-06,2002-02-07,1,-0.021858920166386096,000001.SS
2009-01-12,2009-01-14,2,-0.021834968851739474,000001.SS
2018-09-05,2018-09-07,2,-0.021812023583357317,000001.SS
2018-11-20,2018-11-21,1,-0.02179143711484152,000001.SS
2018-08-28,2018-09-04,7,-0.02165782991068329,000001.SS
2002-08-07,2002-08-13,6,-0.021613654013512687,000001.SS
2015-09-17,2015-09-18,1,-0.02145191023207457,000001.SS
2017-01-10,2017-01-17,7,-0.021446920836150535,000001.SS
2018-02-27,2018-03-01,2,-0.021313658517665455,000001.SS
2003-07-24,2003-07-29,5,-0.021262836091591616,000001.SS
2004-09-13,2004-09-14,1,-0.02123674840130412,000001.SS
2012-09-20,2012-09-21,1,-0.021233322873627766,000001.SS
2004-02-25,2004-02-26,1,-0.02119486385861199,000001.SS
2001-12-24,2001-12-25,1,-0.021192876541246908,000001.SS
2003-02-20,2003-02-24,4,-0.02115422577063717,000001.SS
2007-06-20,2007-06-21,1,-0.02109396439477541,000001.SS
2010-11-22,2010-11-24,2,-0.020900200975353434,000001.SS
2015-10-30,2015-11-04,5,-0.02087763452392896,000001.SS
2002-07-09,2002-07-12,3,-0.0208059599020466,000001.SS
2010-08-25,2010-08-26,1,-0.020691372892077845,000001.SS
2004-03-23,2004-03-30,7,-0.020675898770427317,000001.SS
2015-09-29,2015-09-30,1,-0.02061103281052255,000001.SS
2005-09-27,2005-09-29,2,-0.020532283267111744,000001.SS
2003-06-27,2003-07-02,5,-0.02048758523617267,000001.SS
2009-03-25,2009-03-26,1,-0.02045117469683447,000001.SS
2013-02-18,2013-02-20,2,-0.020436444204090413,000001.SS
2005-05-25,2005-05-30,5,-0.02042742833668794,000001.SS
2016-09-23,2016-09-27,4,-0.020397224136984807,000001.SS
2004-10-20,2004-10-22,2,-0.020346703676575283,000001.SS
2002-11-14,2002-11-15,1,-0.020310135522071712,000001.SS
2007-03-14,2007-03-15,1,-0.0201146741055198,000001.SS
2019-04-11,2019-04-16,5,-0.020107707864115983,000001.SS
2013-04-25,2013-05-03,8,-0.020094998413140858,000001.SS
2018-06-07,2018-06-12,5,-0.020066567696577428,000001.SS
2016-03-28,2016-03-30,2,-0.020046501795962453,000001.SS
2012-11-15,2012-11-19,4,-0.02004342677332616,000001.SS
2012-07-20,2012-07-24,4,-0.020030528864907804,000001.SS
2001-06-18,2001-06-19,1,-0.01998618713903708,000001.SS
2013-04-11,2013-04-16,5,-0.019907188078610194,000001.SS
2002-11-26,2002-11-27,1,-0.019888894823994446,000001.SS
2010-01-29,2010-02-03,5,-0.019881020635177316,000001.SS
2004-01-13,2004-01-16,3,-0.019858151089474085,000001.SS
2005-11-09,2005-11-11,2,-0.019713837502997635,000001.SS
